model,model_key,segment_index,tp,fp,fn,tn,precision,recall,mean_score
Voxaboxen MLP2,voxaboxen_beats_mlp2,25,1,0,40,19,1.0,0.024390243902439025,0.22874502658333334
Voxaboxen MLP2,voxaboxen_beats_mlp2,26,0,0,40,20,,0.0,0.1870728435
Voxaboxen MLP2,voxaboxen_beats_mlp2,27,0,0,50,10,,0.0,0.1871121129833333
Voxaboxen MLP2,voxaboxen_beats_mlp2,28,0,0,35,25,,0.0,0.13710031295
Voxaboxen MLP2,voxaboxen_beats_mlp2,29,0,0,15,45,,0.0,0.17769776575000001
Voxaboxen MLP2,voxaboxen_beats_mlp2,30,1,0,20,39,1.0,0.047619047619047616,0.1850566678
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,1,0,32,0,28,0.0,,0.49380697049999994
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,2,10,49,0,1,0.1694915254237288,1.0,0.7046040486666668
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,3,0,57,0,3,0.0,,0.6880263135
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,4,6,52,2,0,0.10344827586206896,0.75,0.7272990405
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,5,16,43,0,1,0.2711864406779661,1.0,0.7348472088333334
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,6,0,59,0,1,0.0,,0.7309970808333334
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,7,10,48,2,0,0.1724137931034483,0.8333333333333334,0.7524113924999999
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,8,53,5,2,0,0.9137931034482759,0.9636363636363636,0.7425887406666667
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,9,45,15,0,0,0.75,1.0,0.7787569128333334
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,10,53,5,2,0,0.9137931034482759,0.9636363636363636,0.7596571259999999
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,11,58,1,1,0,0.9830508474576272,0.9830508474576272,0.7919818709999998
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,12,51,0,9,0,1.0,0.85,0.6176536376666668
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,13,53,0,7,0,1.0,0.8833333333333333,0.6212704843333332
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,14,56,0,4,0,1.0,0.9333333333333333,0.6857660719999998
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,15,59,0,1,0,1.0,0.9833333333333333,0.7979692061666667
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,16,58,1,1,0,0.9830508474576272,0.9830508474576272,0.7876356321666667
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,17,51,8,0,1,0.864406779661017,1.0,0.7809659394999999
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,18,48,11,1,0,0.8135593220338984,0.9795918367346939,0.7506516001666668
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,19,36,23,1,0,0.6101694915254238,0.972972972972973,0.7538830573333335
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,20,19,37,0,4,0.3392857142857143,1.0,0.7114556116666665
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,21,27,1,24,8,0.9642857142857143,0.5294117647058824,0.46459876266666666
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,22,38,10,12,0,0.7916666666666666,0.76,0.6340675176666668
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,23,30,15,14,1,0.6666666666666666,0.6818181818181818,0.5450465695
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,24,29,15,11,5,0.6590909090909091,0.725,0.5267497389999999
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,25,8,6,33,13,0.5714285714285714,0.1951219512195122,0.36408054378333327
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,26,15,0,25,20,1.0,0.375,0.39195153383333337
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,27,30,6,20,4,0.8333333333333334,0.6,0.5378970605000001
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,28,25,21,10,4,0.5434782608695652,0.7142857142857143,0.6464475350000001
