model,windows,predicted_sound_windows,predicted_sound_events,precision,recall,f1,average_precision,roc_auc
Perch MLP2,1784,323,59,0.9473684210526315,0.28073394495412846,0.43312101910828027,0.8620648010152604,0.7867527694788885
Voxaboxen MLP2,1800,91,17,1.0,0.08257713248638839,0.15255658005029338,0.7941938950453591,0.665240068851112
animal2vec MLP2,1800,1467,20,0.6155419222903885,0.8194192377495463,0.7029972752043597,0.7198476718917044,0.5731296054581667
Wav2Vec2 MLP2,1800,659,86,0.5584218512898331,0.3339382940108893,0.4179443498012493,0.5732413545038433,0.458113406725984
