model,head,folds,val_loss_mean,val_loss_std,test_loss_mean,test_loss_std,val_roc_auc_mean,val_roc_auc_std,test_roc_auc_mean,test_roc_auc_std,val_ap_mean,val_ap_std,test_ap_mean,test_ap_std,test_fp_mean,test_fp_std,test_fn_mean,test_fn_std
Voxaboxen BEATs,linear head,5,0.6688019764294713,0.48060798276308314,0.6493532036769498,0.2922829590421186,0.8158643398774945,0.12987997485045724,0.8214092356992728,0.09663371487956121,0.7943635689090204,0.15610025092694899,0.8023681365812727,0.12350030476815345,802.8,1265.7099588768351,1989.4,1226.8843873813048
Voxaboxen BEATs,MLP2 head,5,1.0378318084862688,0.7183233467211692,0.9978869356323091,0.805700248402055,0.8176737357558996,0.10467504044803073,0.8312985091502467,0.09380344629563477,0.8054758262889535,0.12504105640368116,0.8102469170871863,0.12827014682900023,525.2,887.1587794752414,2546.0,1805.759258594567
Perch,linear head,5,0.5558448799508604,0.10300317927712795,0.5960838478876727,0.1343181982029708,0.8237269819395397,0.0813142258223844,0.8132180114670732,0.0709962823488401,0.796317232104109,0.11722333200287957,0.7966608423334858,0.10558978248146206,50.2,26.262140049889307,3782.6,1965.8545978784903
Perch,MLP2 head,5,0.8424657508204925,0.3313662101723324,0.9393568062183133,0.6348620867810663,0.7936980238984889,0.08852163475530485,0.8026516924961437,0.07587606033424554,0.7761703905042323,0.12927792774616295,0.7886013501959979,0.1068854760618849,100.2,184.28700442516288,3838.4,1992.1795350821171
animal2vec,linear head,5,0.9776626075868368,0.1928913529207949,0.9251364660473052,0.28952520654650893,0.6326769832385122,0.08433503785678258,0.6607609360295028,0.08931360566970677,0.6098987176542948,0.1349375049022024,0.6061950825545367,0.08550149459897372,1236.6,1349.8715864851738,3355.4,2697.435040923136
animal2vec,MLP2 head,5,1.6588625048609358,0.5198854417352203,1.5447732060067083,0.8613880918911805,0.6504556079346471,0.06609698881836379,0.6612362070677136,0.12788955891587062,0.6263905989541492,0.14652922921123251,0.630150914658641,0.13875880416659273,1417.2,1299.583856470986,2850.6,2201.7808246962277
Wav2Vec2,linear head,5,0.9260179075551775,0.07522248490707797,1.0112604726822378,0.3651908227938346,0.5198480618444193,0.12464004914024444,0.5013539054149156,0.1516233913155084,0.49217768708566484,0.18976793176579174,0.4772623579938351,0.061903535671167166,1802.8,1732.472135418056,3365.8,2375.071935752684
Wav2Vec2,MLP2 head,5,1.3360944974621245,0.5889005928725173,1.8162502274506225,1.5443224640087585,0.5766184409518471,0.08055583007586473,0.49179963741829535,0.14637884793105022,0.5535476925294931,0.12334671956735509,0.469011244917926,0.11015973201478972,1276.6,1092.5265671826933,3653.8,2401.2808457154692
