model,head,folds,window_ap_mean,window_ap_std,window_f1_mean,window_f1_std,window_precision_mean,window_precision_std,window_recall_mean,window_recall_std,event_f1_mean,event_f1_std,event_precision_mean,event_precision_std,event_recall_mean,event_recall_std,event_ap_0_5_mean,event_ap_0_5_std,event_far_per_hour_mean,event_far_per_hour_std,selected_threshold_mean,selected_threshold_std
Voxaboxen BEATs,linear head,5,0.8023681365812727,0.1235003047681534,0.5121053225724037,0.2842846377971194,0.8671593843220133,0.1399821936170948,0.462204369173203,0.3629548643904274,0.014937268213832,0.0118361011352993,0.0838943511126825,0.0730528956080985,0.0083172021206514,0.006601748893138,0.0031954233041894,0.0023618889416071,35.23562685208086,19.567320646743173,0.734,0.4025295020243857
Voxaboxen BEATs,MLP2 head,5,0.8102469170871863,0.1282701468290002,0.428071326035936,0.2824808375632522,0.8935657254966799,0.1195788860141795,0.3640025232529283,0.3642582470668679,0.0169537340292559,0.0152063068685198,0.1022361933041871,0.0801959425566255,0.0093552146581292,0.0085114637417665,0.0023997118567797,0.00098732237317,30.36821975145807,14.551946664170362,0.7939999999999999,0.4383263624287273
Perch,linear head,5,0.7966608423334858,0.105589782481462,0.337088780206621,0.1599937277373974,0.9351890706976628,0.0529880252575113,0.2149978804561979,0.122470598729803,0.0411869478809781,0.0209383334964013,0.1286947483685795,0.0478811358033854,0.0247147561053375,0.0130297092641102,0.0064118630342449,0.0048873830747439,59.38075320615312,17.841012937351017,0.938,0.0319374388453426
Perch,MLP2 head,5,0.7886013501959979,0.1068854760618849,0.3226506961447922,0.1246060353318829,0.9202700437891036,0.1264842988522296,0.2020398115808732,0.090559847217908,0.0442628730636588,0.0206768220495778,0.1466257569776333,0.0718484268215403,0.0264039036552822,0.0125919514490618,0.0066287447790166,0.0045054884413323,61.65991281984786,17.907577987780144,0.978,0.0178885438199982
animal2vec,linear head,5,0.6061950825545367,0.0855014945989737,0.373713161205805,0.2689249293577222,0.601027800558091,0.1912271379614028,0.3687618947130728,0.3100649875584907,0.0077683727178945,0.0047284482454234,0.0580346468903903,0.046823763259214,0.0043174323579469,0.0026723681499574,0.003203916586285,0.0015308919543453,42.44023428661967,25.40351063067741,0.538,0.27068431797945
animal2vec,MLP2 head,5,0.630150914658641,0.1387588041665927,0.4533342573058428,0.2389967360827428,0.5812656452903457,0.1902612210124375,0.4369892085428177,0.289273358486018,0.006006525254683,0.0036611961666468,0.0436412994012109,0.0401109284553526,0.003366228340563,0.0020819538289357,0.0021714172901922,0.0016832363217191,42.37899092483785,21.86164515934856,0.448,0.2817268180347764
Wav2Vec2,linear head,5,0.4772623579938351,0.0619035356711671,0.3033697885535199,0.1612245634400879,0.408888883258134,0.0514657546662137,0.3016514016239321,0.2664676373568439,0.0191160870442061,0.0142144445555118,0.043854006395292,0.0324282009932471,0.0127893930631855,0.0097883123862686,0.0025908182781208,0.0023013326552977,97.26129886289225,40.74927062898645,0.5700000000000001,0.1252996408614166
Wav2Vec2,MLP2 head,5,0.469011244917926,0.1101597320147897,0.279730318259887,0.1876190971226885,0.4619518086305101,0.1292600582162805,0.267975633986793,0.280986607869658,0.0175645109283296,0.0078738150816557,0.0656957895477858,0.058730216512801,0.0107753600346019,0.0049869318611107,0.003265968671024,0.0027607028633686,81.79852078194389,37.74142275976561,0.628,0.3282072515956952
