model,windows,predicted_sound_windows,predicted_sound_events,precision,recall,f1,average_precision,roc_auc
Perch linear,1784,340,61,0.9558823529411765,0.2981651376146789,0.45454545454545453,0.8711067151949949,0.7953507125294133
Voxaboxen linear,1800,227,35,0.9515418502202643,0.19600725952813067,0.32505643340857787,0.7982839483814608,0.677109605354162
animal2vec linear,1800,1256,30,0.6265923566878981,0.7141560798548094,0.6675148430873622,0.6991360458729707,0.5790546232689717
Wav2Vec2 linear,1800,1275,29,0.6031372549019608,0.6978221415607986,0.6470340765671014,0.5729736674668457,0.4555301899645864
