model,model_key,segment_index,tp,fp,fn,tn,precision,recall,mean_score
Voxaboxen linear,voxaboxen_beats_linear,29,1,2,14,43,0.3333333333333333,0.06666666666666667,0.4298301056666667
Voxaboxen linear,voxaboxen_beats_linear,30,5,0,16,39,1.0,0.23809523809523808,0.38173818626666667
animal2vec linear,animal2vec_pretrained_meerkat_linear,1,0,15,0,45,0.0,,0.47499692416666667
animal2vec linear,animal2vec_pretrained_meerkat_linear,2,9,38,1,12,0.19148936170212766,0.9,0.6014699131666668
animal2vec linear,animal2vec_pretrained_meerkat_linear,3,0,45,0,15,0.0,,0.5955252182666666
animal2vec linear,animal2vec_pretrained_meerkat_linear,4,6,49,2,3,0.10909090909090909,0.75,0.6372225366666665
animal2vec linear,animal2vec_pretrained_meerkat_linear,5,16,42,0,2,0.27586206896551724,1.0,0.6691914386666666
animal2vec linear,animal2vec_pretrained_meerkat_linear,6,0,51,0,9,0.0,,0.6270530999999999
animal2vec linear,animal2vec_pretrained_meerkat_linear,7,10,47,2,1,0.17543859649122806,0.8333333333333334,0.6967489798333335
animal2vec linear,animal2vec_pretrained_meerkat_linear,8,53,5,2,0,0.9137931034482759,0.9636363636363636,0.6793723915
animal2vec linear,animal2vec_pretrained_meerkat_linear,9,41,14,4,1,0.7454545454545455,0.9111111111111111,0.7115996346666666
animal2vec linear,animal2vec_pretrained_meerkat_linear,10,52,5,3,0,0.9122807017543859,0.9454545454545454,0.6708220173333334
animal2vec linear,animal2vec_pretrained_meerkat_linear,11,52,1,7,0,0.9811320754716981,0.8813559322033898,0.7077952335
animal2vec linear,animal2vec_pretrained_meerkat_linear,12,23,0,37,0,1.0,0.38333333333333336,0.5371914791666668
animal2vec linear,animal2vec_pretrained_meerkat_linear,13,38,0,22,0,1.0,0.6333333333333333,0.5630770280000001
animal2vec linear,animal2vec_pretrained_meerkat_linear,14,52,0,8,0,1.0,0.8666666666666667,0.6509468061666666
animal2vec linear,animal2vec_pretrained_meerkat_linear,15,57,0,3,0,1.0,0.95,0.7530880394999998
animal2vec linear,animal2vec_pretrained_meerkat_linear,16,56,1,3,0,0.9824561403508771,0.9491525423728814,0.7040958426666667
animal2vec linear,animal2vec_pretrained_meerkat_linear,17,51,7,0,2,0.8793103448275862,1.0,0.7347786490000001
animal2vec linear,animal2vec_pretrained_meerkat_linear,18,47,11,2,0,0.8103448275862069,0.9591836734693877,0.7410171286666666
animal2vec linear,animal2vec_pretrained_meerkat_linear,19,35,20,2,3,0.6363636363636364,0.9459459459459459,0.7333237514666668
animal2vec linear,animal2vec_pretrained_meerkat_linear,20,19,34,0,7,0.3584905660377358,1.0,0.6871931463333334
animal2vec linear,animal2vec_pretrained_meerkat_linear,21,19,1,32,8,0.95,0.37254901960784315,0.46717189383333335
animal2vec linear,animal2vec_pretrained_meerkat_linear,22,34,9,16,1,0.7906976744186046,0.68,0.6035371885
animal2vec linear,animal2vec_pretrained_meerkat_linear,23,19,7,25,9,0.7307692307692307,0.4318181818181818,0.5175610346666667
animal2vec linear,animal2vec_pretrained_meerkat_linear,24,18,9,22,11,0.6666666666666666,0.45,0.5082338955
animal2vec linear,animal2vec_pretrained_meerkat_linear,25,7,4,34,15,0.6363636363636364,0.17073170731707318,0.37741589923333335
animal2vec linear,animal2vec_pretrained_meerkat_linear,26,8,0,32,20,1.0,0.2,0.39440843533333325
animal2vec linear,animal2vec_pretrained_meerkat_linear,27,27,6,23,4,0.8181818181818182,0.54,0.5918508033333333
animal2vec linear,animal2vec_pretrained_meerkat_linear,28,27,22,8,3,0.5510204081632653,0.7714285714285715,0.6975053741666667
animal2vec linear,animal2vec_pretrained_meerkat_linear,29,7,16,8,29,0.30434782608695654,0.4666666666666667,0.5335998615
animal2vec linear,animal2vec_pretrained_meerkat_linear,30,4,10,17,29,0.2857142857142857,0.19047619047619047,0.4589843934999999
Wav2Vec2 linear,wav2vec2_base_linear,1,0,50,0,10,0.0,,0.6459400928333333
Wav2Vec2 linear,wav2vec2_base_linear,2,10,37,0,13,0.2127659574468085,1.0,0.6445795591666666
Wav2Vec2 linear,wav2vec2_base_linear,3,0,46,0,14,0.0,,0.6417619005
Wav2Vec2 linear,wav2vec2_base_linear,4,2,45,6,7,0.0425531914893617,0.25,0.6440163623333334
Wav2Vec2 linear,wav2vec2_base_linear,5,13,32,3,12,0.28888888888888886,0.8125,0.6493491010000001
Wav2Vec2 linear,wav2vec2_base_linear,6,0,43,0,17,0.0,,0.6338688659999999
Wav2Vec2 linear,wav2vec2_base_linear,7,8,31,4,17,0.20512820512820512,0.6666666666666666,0.6257116144333332
Wav2Vec2 linear,wav2vec2_base_linear,8,44,4,11,1,0.9166666666666666,0.8,0.6506874825
Wav2Vec2 linear,wav2vec2_base_linear,9,40,12,5,3,0.7692307692307693,0.8888888888888888,0.6781938481666667
Wav2Vec2 linear,wav2vec2_base_linear,10,44,4,11,1,0.9166666666666666,0.8,0.6326088263333334
Wav2Vec2 linear,wav2vec2_base_linear,11,42,1,17,0,0.9767441860465116,0.711864406779661,0.6154002096666668
Wav2Vec2 linear,wav2vec2_base_linear,12,36,0,24,0,1.0,0.6,0.5928101156666667
Wav2Vec2 linear,wav2vec2_base_linear,13,40,0,20,0,1.0,0.6666666666666666,0.5850141271666666
Wav2Vec2 linear,wav2vec2_base_linear,14,41,0,19,0,1.0,0.6833333333333333,0.6205004365
Wav2Vec2 linear,wav2vec2_base_linear,15,39,0,21,0,1.0,0.65,0.6244090581666667
Wav2Vec2 linear,wav2vec2_base_linear,16,36,1,23,0,0.972972972972973,0.6101694915254238,0.5694133135
Wav2Vec2 linear,wav2vec2_base_linear,17,37,5,14,4,0.8809523809523809,0.7254901960784313,0.6033685346666667
Wav2Vec2 linear,wav2vec2_base_linear,18,40,10,9,1,0.8,0.8163265306122449,0.6449532438333333
Wav2Vec2 linear,wav2vec2_base_linear,19,24,23,13,0,0.5106382978723404,0.6486486486486487,0.6613637633333334
Wav2Vec2 linear,wav2vec2_base_linear,20,15,28,4,13,0.3488372093023256,0.7894736842105263,0.6430843678333334
Wav2Vec2 linear,wav2vec2_base_linear,21,39,5,12,4,0.8863636363636364,0.7647058823529411,0.6314824363333333
Wav2Vec2 linear,wav2vec2_base_linear,22,33,8,17,2,0.8048780487804879,0.66,0.6053886921666666
Wav2Vec2 linear,wav2vec2_base_linear,23,33,14,11,2,0.7021276595744681,0.75,0.6275992201666666
Wav2Vec2 linear,wav2vec2_base_linear,24,20,12,20,8,0.625,0.5,0.5710907921666667
Wav2Vec2 linear,wav2vec2_base_linear,25,32,15,9,4,0.6808510638297872,0.7804878048780488,0.6325791543333333
Wav2Vec2 linear,wav2vec2_base_linear,26,19,17,21,3,0.5277777777777778,0.475,0.6124271576666666
Wav2Vec2 linear,wav2vec2_base_linear,27,38,7,12,3,0.8444444444444444,0.76,0.6287124226666666
Wav2Vec2 linear,wav2vec2_base_linear,28,16,7,19,18,0.6956521739130435,0.45714285714285713,0.5556333705000001
Wav2Vec2 linear,wav2vec2_base_linear,29,11,24,4,21,0.3142857142857143,0.7333333333333333,0.5790928441666665
Wav2Vec2 linear,wav2vec2_base_linear,30,17,25,4,14,0.40476190476190477,0.8095238095238095,0.6119086186666667
