model,model_key,segment_index,tp,fp,fn,tn,precision,recall,mean_score
Voxaboxen,voxaboxen_beats,28,0,5,35,20,0.0,0.0,0.27147956296573744
Voxaboxen,voxaboxen_beats,29,9,9,6,36,0.5,0.6,0.3716509762619887
Voxaboxen,voxaboxen_beats,30,11,0,10,39,1.0,0.5238095238095238,0.31886529029449096
animal2vec,animal2vec_pretrained_meerkat,1,0,6,0,54,0.0,,0.2603336021335435
animal2vec,animal2vec_pretrained_meerkat,2,7,29,3,21,0.19444444444444445,0.7,0.5107158328894352
animal2vec,animal2vec_pretrained_meerkat,3,0,32,0,28,0.0,,0.5049561053482746
animal2vec,animal2vec_pretrained_meerkat,4,6,33,2,19,0.15384615384615385,0.75,0.5744773002040766
animal2vec,animal2vec_pretrained_meerkat,5,16,35,0,9,0.3137254901960784,1.0,0.6095472736967071
animal2vec,animal2vec_pretrained_meerkat,6,0,40,0,20,0.0,,0.5619966100350802
animal2vec,animal2vec_pretrained_meerkat,7,10,44,2,4,0.18518518518518517,0.8333333333333334,0.6970506449761104
animal2vec,animal2vec_pretrained_meerkat,8,45,4,10,1,0.9183673469387755,0.8181818181818182,0.6280869084169995
animal2vec,animal2vec_pretrained_meerkat,9,42,9,3,6,0.8235294117647058,0.9333333333333333,0.7094481912725077
animal2vec,animal2vec_pretrained_meerkat,10,50,5,5,0,0.9090909090909091,0.9090909090909091,0.6667391761979105
animal2vec,animal2vec_pretrained_meerkat,11,47,1,12,0,0.9791666666666666,0.7966101694915254,0.6954072123212481
animal2vec,animal2vec_pretrained_meerkat,12,9,0,51,0,1.0,0.15,0.36776422586359014
animal2vec,animal2vec_pretrained_meerkat,13,21,0,39,0,1.0,0.35,0.4151495506827317
animal2vec,animal2vec_pretrained_meerkat,14,38,0,22,0,1.0,0.6333333333333333,0.5671224284771008
animal2vec,animal2vec_pretrained_meerkat,15,59,0,1,0,1.0,0.9833333333333333,0.7762518292509925
animal2vec,animal2vec_pretrained_meerkat,16,56,1,3,0,0.9824561403508771,0.9491525423728814,0.750759919546056
animal2vec,animal2vec_pretrained_meerkat,17,51,6,0,3,0.8947368421052632,1.0,0.7348264372308052
animal2vec,animal2vec_pretrained_meerkat,18,44,11,5,0,0.8,0.8979591836734694,0.7432246725050349
animal2vec,animal2vec_pretrained_meerkat,19,32,20,5,3,0.6153846153846154,0.8648648648648649,0.7115984489329428
animal2vec,animal2vec_pretrained_meerkat,20,19,31,0,10,0.38,1.0,0.6639551258909988
animal2vec,animal2vec_pretrained_meerkat,21,7,0,44,9,1.0,0.13725490196078433,0.3078376701993109
animal2vec,animal2vec_pretrained_meerkat,22,30,2,20,8,0.9375,0.6,0.5206684719492503
animal2vec,animal2vec_pretrained_meerkat,23,5,2,39,14,0.7142857142857143,0.11363636363636363,0.37604868413654663
animal2vec,animal2vec_pretrained_meerkat,24,5,4,35,16,0.5555555555555556,0.125,0.3297435284470237
animal2vec,animal2vec_pretrained_meerkat,25,0,1,41,18,0.0,0.0,0.20446510891219727
animal2vec,animal2vec_pretrained_meerkat,26,2,0,38,20,1.0,0.05,0.21829749018905228
animal2vec,animal2vec_pretrained_meerkat,27,22,6,28,4,0.7857142857142857,0.44,0.4402562407682452
animal2vec,animal2vec_pretrained_meerkat,28,25,18,10,7,0.5813953488372093,0.7142857142857143,0.6416300651063752
animal2vec,animal2vec_pretrained_meerkat,29,6,8,9,37,0.42857142857142855,0.4,0.36803884562181116
animal2vec,animal2vec_pretrained_meerkat,30,0,7,21,32,0.0,0.0,0.30415664524519975
Wav2Vec2,wav2vec2_base,1,0,42,0,18,0.0,,0.6257575897861328
Wav2Vec2,wav2vec2_base,2,10,31,0,19,0.24390243902439024,1.0,0.5842207053928549
Wav2Vec2,wav2vec2_base,3,0,37,0,23,0.0,,0.5831946153213358
Wav2Vec2,wav2vec2_base,4,5,37,3,15,0.11904761904761904,0.625,0.6228494354211059
Wav2Vec2,wav2vec2_base,5,13,33,3,11,0.2826086956521739,0.8125,0.6837123760350422
Wav2Vec2,wav2vec2_base,6,0,52,0,8,0.0,,0.6717900884766891
Wav2Vec2,wav2vec2_base,7,8,27,4,21,0.22857142857142856,0.6666666666666666,0.5967773481162716
Wav2Vec2,wav2vec2_base,8,34,4,21,1,0.8947368421052632,0.6181818181818182,0.588951939610049
Wav2Vec2,wav2vec2_base,9,27,11,18,4,0.7105263157894737,0.6,0.6107732044435534
Wav2Vec2,wav2vec2_base,10,38,2,17,3,0.95,0.6909090909090909,0.5978481383884253
Wav2Vec2,wav2vec2_base,11,50,0,9,1,1.0,0.847457627118644,0.6755342736511221
Wav2Vec2,wav2vec2_base,12,45,0,15,0,1.0,0.75,0.5791116861361654
Wav2Vec2,wav2vec2_base,13,52,0,8,0,1.0,0.8666666666666667,0.6715632499823063
Wav2Vec2,wav2vec2_base,14,33,0,27,0,1.0,0.55,0.5641598332884092
Wav2Vec2,wav2vec2_base,15,37,0,23,0,1.0,0.6166666666666667,0.597611948227781
Wav2Vec2,wav2vec2_base,16,26,1,33,0,0.9629629629629629,0.4406779661016949,0.49022787170481086
Wav2Vec2,wav2vec2_base,17,29,4,22,5,0.8787878787878788,0.5686274509803921,0.5393712260847981
Wav2Vec2,wav2vec2_base,18,31,10,18,1,0.7560975609756098,0.6326530612244898,0.6539100827517023
Wav2Vec2,wav2vec2_base,19,20,20,17,3,0.5,0.5405405405405406,0.6428075061268371
Wav2Vec2,wav2vec2_base,20,14,20,5,21,0.4117647058823529,0.7368421052631579,0.5693716677237732
Wav2Vec2,wav2vec2_base,21,25,6,26,3,0.8064516129032258,0.49019607843137253,0.5475684556673249
Wav2Vec2,wav2vec2_base,22,28,8,22,2,0.7777777777777778,0.56,0.5551128410631033
Wav2Vec2,wav2vec2_base,23,28,7,16,9,0.8,0.6363636363636364,0.5629865522789247
Wav2Vec2,wav2vec2_base,24,17,11,23,9,0.6071428571428571,0.425,0.47849828164225533
Wav2Vec2,wav2vec2_base,25,31,11,10,8,0.7380952380952381,0.7560975609756098,0.6387996628348588
Wav2Vec2,wav2vec2_base,26,21,20,19,0,0.5121951219512195,0.525,0.5794087184661669
Wav2Vec2,wav2vec2_base,27,31,5,19,5,0.8611111111111112,0.62,0.5990899901121088
Wav2Vec2,wav2vec2_base,28,17,2,18,23,0.8947368421052632,0.4857142857142857,0.4192824592091749
Wav2Vec2,wav2vec2_base,29,7,17,8,28,0.2916666666666667,0.4666666666666667,0.47263512273290964
Wav2Vec2,wav2vec2_base,30,10,16,11,23,0.38461538461538464,0.47619047619047616,0.4626421213304754
