model,windows,predicted_sound_windows,predicted_sound_events,precision,recall,f1,average_precision,roc_auc
Perch 2.0,1784,913,42,0.8302300109529025,0.6954128440366972,0.7568647029455816,0.8613094287231049,0.7846469079660523
Voxaboxen,1800,454,53,0.8832599118942731,0.36388384754990927,0.5154241645244216,0.805611338116436,0.684110421791065
animal2vec,1800,1009,29,0.6481665014866204,0.5934664246823956,0.6196115585030791,0.7228604142295783,0.5899263646716831
Wav2Vec2,1800,1121,43,0.6128456735057984,0.6234119782214156,0.6180836707152496,0.586839566844401,0.48599576700866876
